year,areakm,municipality,geocode_ibge,state
2016,0.0724727828778927,Nova Nazaré,5106174,Mato Grosso
2017,63.440610601461714,Nova Nazaré,5106174,Mato Grosso
2018,0,Nova Nazaré,5106174,Mato Grosso
2019,0,Nova Nazaré,5106174,Mato Grosso
2020,0.0810377509774879,Nova Nazaré,5106174,Mato Grosso
2021,0.3156558929489503,Nova Nazaré,5106174,Mato Grosso
2022,0.10578837938332399,Nova Nazaré,5106174,Mato Grosso
2023,0.2132453467040613,Nova Nazaré,5106174,Mato Grosso
2024,0,Nova Nazaré,5106174,Mato Grosso
2007,829.0405389608013,Nova Olímpia,5106232,Mato Grosso
2008,4.271498241458698,Nova Olímpia,5106232,Mato Grosso
2009,0.485022328328194,Nova Olímpia,5106232,Mato Grosso
2010,0.5265773867234711,Nova Olímpia,5106232,Mato Grosso
2011,0.1819497754057433,Nova Olímpia,5106232,Mato Grosso
2012,0.07885144005224735,Nova Olímpia,5106232,Mato Grosso
2013,0,Nova Olímpia,5106232,Mato Grosso
2014,0.41106522137553403,Nova Olímpia,5106232,Mato Grosso
2015,0.16453621456983392,Nova Olímpia,5106232,Mato Grosso
2016,0.8628893089855943,Nova Olímpia,5106232,Mato Grosso
2017,0.26172172325095333,Nova Olímpia,5106232,Mato Grosso
2018,0.10997353943145824,Nova Olímpia,5106232,Mato Grosso
2019,0.8027701481261583,Nova Olímpia,5106232,Mato Grosso
2020,1.5984933345491399,Nova Olímpia,5106232,Mato Grosso
2021,1.6764930377764697,Nova Olímpia,5106232,Mato Grosso
2022,0.3199179354620608,Nova Olímpia,5106232,Mato Grosso
2023,0.4836138497695543,Nova Olímpia,5106232,Mato Grosso
2024,0,Nova Olímpia,5106232,Mato Grosso
2007,1301.8460084670687,Nova Santa Helena,5106190,Mato Grosso
2008,16.888152919030862,Nova Santa Helena,5106190,Mato Grosso
2009,3.7274677602112614,Nova Santa Helena,5106190,Mato Grosso
2010,1.1198213702794264,Nova Santa Helena,5106190,Mato Grosso
2011,3.952036051122041,Nova Santa Helena,5106190,Mato Grosso
2012,3.1994723723891743,Nova Santa Helena,5106190,Mato Grosso
2013,5.208515386467689,Nova Santa Helena,5106190,Mato Grosso
2014,4.158491449244342,Nova Santa Helena,5106190,Mato Grosso
2015,1.8527314548827711,Nova Santa Helena,5106190,Mato Grosso
2016,2.185189009162692,Nova Santa Helena,5106190,Mato Grosso
2017,3.476858159361842,Nova Santa Helena,5106190,Mato Grosso
2018,2.6743759339871933,Nova Santa Helena,5106190,Mato Grosso
2019,5.506151836042641,Nova Santa Helena,5106190,Mato Grosso
2020,10.461146090905864,Nova Santa Helena,5106190,Mato Grosso
2021,8.829338446791155,Nova Santa Helena,5106190,Mato Grosso
2022,11.15361392904411,Nova Santa Helena,5106190,Mato Grosso
2023,28.15225372753552,Nova Santa Helena,5106190,Mato Grosso
2024,58.50381935436428,Nova Santa Helena,5106190,Mato Grosso
2007,4018.035807572826,Nova Ubiratã,5106240,Mato Grosso
2008,140.18465655464263,Nova Ubiratã,5106240,Mato Grosso
2009,30.843742581351623,Nova Ubiratã,5106240,Mato Grosso
2010,22.924297735379383,Nova Ubiratã,5106240,Mato Grosso
2011,94.13678620965602,Nova Ubiratã,5106240,Mato Grosso
2012,19.85660933975053,Nova Ubiratã,5106240,Mato Grosso
2013,9.685067178878441,Nova Ubiratã,5106240,Mato Grosso
2014,15.551141995477845,Nova Ubiratã,5106240,Mato Grosso
2015,28.108928946702683,Nova Ubiratã,5106240,Mato Grosso
2016,23.5071782054554,Nova Ubiratã,5106240,Mato Grosso
2017,43.73474207614502,Nova Ubiratã,5106240,Mato Grosso
2018,23.425339010586338,Nova Ubiratã,5106240,Mato Grosso
2019,19.10027999289584,Nova Ubiratã,5106240,Mato Grosso
2020,31.97908927362601,Nova Ubiratã,5106240,Mato Grosso
2021,59.234929259211064,Nova Ubiratã,5106240,Mato Grosso
2022,55.83994752200773,Nova Ubiratã,5106240,Mato Grosso
2023,115.96255741118512,Nova Ubiratã,5106240,Mato Grosso
2024,18.06060998917712,Nova Ubiratã,5106240,Mato Grosso
2007,785.9931754070674,Nova Xavantina,5106257,Mato Grosso
2008,0.14397930505476636,Nova Xavantina,5106257,Mato Grosso
2009,0,Nova Xavantina,5106257,Mato Grosso
2010,4.741641516265404,Nova Xavantina,5106257,Mato Grosso
2011,0,Nova Xavantina,5106257,Mato Grosso
2012,0,Nova Xavantina,5106257,Mato Grosso
2013,0.07063692529967006,Nova Xavantina,5106257,Mato Grosso
2014,0,Nova Xavantina,5106257,Mato Grosso
2015,0,Nova Xavantina,5106257,Mato Grosso
2016,0.0634371179868932,Nova Xavantina,5106257,Mato Grosso
2017,0.3739846173920815,Nova Xavantina,5106257,Mato Grosso
2018,0,Nova Xavantina,5106257,Mato Grosso
2019,0.24745101400033775,Nova Xavantina,5106257,Mato Grosso
2020,0,Nova Xavantina,5106257,Mato Grosso
2021,0,Nova Xavantina,5106257,Mato Grosso
2022,0,Nova Xavantina,5106257,Mato Grosso
2023,0,Nova Xavantina,5106257,Mato Grosso
2024,0,Nova Xavantina,5106257,Mato Grosso
2007,691.0510297065014,Novo Horizonte do Norte,5106273,Mato Grosso
2008,2.5568273554383407,Novo Horizonte do Norte,5106273,Mato Grosso
2009,0.23105169143450996,Novo Horizonte do Norte,5106273,Mato Grosso
2010,0.07400474883195755,Novo Horizonte do Norte,5106273,Mato Grosso
2011,0.39365243059954214,Novo Horizonte do Norte,5106273,Mato Grosso
2012,0.07914444413481313,Novo Horizonte do Norte,5106273,Mato Grosso
2013,0.06726470478320808,Novo Horizonte do Norte,5106273,Mato Grosso
2014,1.1775488910013208,Novo Horizonte do Norte,5106273,Mato Grosso
2015,0.422569852287005,Novo Horizonte do Norte,5106273,Mato Grosso
2016,0.9613325407774352,Novo Horizonte do Norte,5106273,Mato Grosso
2017,0.3140933629157171,Novo Horizonte do Norte,5106273,Mato Grosso
2018,0,Novo Horizonte do Norte,5106273,Mato Grosso
2019,0.5177878806783519,Novo Horizonte do Norte,5106273,Mato Grosso
2020,0.4775407691060589,Novo Horizonte do Norte,5106273,Mato Grosso
2021,0.4595387529004524,Novo Horizonte do Norte,5106273,Mato Grosso
2022,0,Novo Horizonte do Norte,5106273,Mato Grosso
2023,0.3804780907618848,Novo Horizonte do Norte,5106273,Mato Grosso
2024,0.20265643915756243,Novo Horizonte do Norte,5106273,Mato Grosso
2007,2409.595597175004,Novo Mundo,5106265,Mato Grosso
2008,42.025101607210935,Novo Mundo,5106265,Mato Grosso
2009,12.26292810093527,Novo Mundo,5106265,Mato Grosso
2010,13.370288543205712,Novo Mundo,5106265,Mato Grosso
2011,15.192453805922028,Novo Mundo,5106265,Mato Grosso
2012,4.1826817405258865,Novo Mundo,5106265,Mato Grosso
2013,14.05911449894494,Novo Mundo,5106265,Mato Grosso
2014,15.224321436083587,Novo Mundo,5106265,Mato Grosso
2015,22.408764523334643,Novo Mundo,5106265,Mato Grosso
2016,20.12362351401671,Novo Mundo,5106265,Mato Grosso
2017,19.60965197813743,Novo Mundo,5106265,Mato Grosso
2018,13.694037974286447,Novo Mundo,5106265,Mato Grosso
2019,21.838074590422348,Novo Mundo,5106265,Mato Grosso
2020,19.562549364820228,Novo Mundo,5106265,Mato Grosso
2021,17.8900322934159,Novo Mundo,5106265,Mato Grosso
2022,14.466197952887034,Novo Mundo,5106265,Mato Grosso
2023,11.7817745663677,Novo Mundo,5106265,Mato Grosso
2024,6.59027503565244,Novo Mundo,5106265,Mato Grosso
2007,182.06460393217793,Novo Santo Antônio,5106315,Mato Grosso
2008,8.887913553073703,Novo Santo Antônio,5106315,Mato Grosso
2009,5.204480366728452,Novo Santo Antônio,5106315,Mato Grosso
2010,2.3694862221386135,Novo Santo Antônio,5106315,Mato Grosso
2011,12.139025557312902,Novo Santo Antônio,5106315,Mato Grosso
2012,2.612526336701159,Novo Santo Antônio,5106315,Mato Grosso
2013,4.775952350998501,Novo Santo Antônio,5106315,Mato Grosso
2014,3.8998290898938786,Novo Santo Antônio,5106315,Mato Grosso
2015,6.502570123482085,Novo Santo Antônio,5106315,Mato Grosso
2016,4.697006911021689,Novo Santo Antônio,5106315,Mato Grosso
2017,5.2537457158295435,Novo Santo Antônio,5106315,Mato Grosso
2018,3.45594368753691,Novo Santo Antônio,5106315,Mato Grosso
2019,2.335381775278676,Novo Santo Antônio,5106315,Mato Grosso
2020,0.44030578238074175,Novo Santo Antônio,5106315,Mato Grosso
2021,9.707040149599505,Novo Santo Antônio,5106315,Mato Grosso
2022,2.4099638052607424,Novo Santo Antônio,5106315,Mato Grosso
2023,3.1313712935744418,Novo Santo Antônio,5106315,Mato Grosso
2024,1.2864883910912785,Novo Santo Antônio,5106315,Mato Grosso
2007,1.184721732367584,Novo São Joaquim,5106281,Mato Grosso
2008,0,Novo São Joaquim,5106281,Mato Grosso
2009,0,Novo São Joaquim,5106281,Mato Grosso
2010,0,Novo São Joaquim,5106281,Mato Grosso
2011,0,Novo São Joaquim,5106281,Mato Grosso
2012,0,Novo São Joaquim,5106281,Mato Grosso
2013,0,Novo São Joaquim,5106281,Mato Grosso
2014,0,Novo São Joaquim,5106281,Mato Grosso
2015,0,Novo São Joaquim,5106281,Mato Grosso
2016,0,Novo São Joaquim,5106281,Mato Grosso
2017,0,Novo São Joaquim,5106281,Mato Grosso
2018,0,Novo São Joaquim,5106281,Mato Grosso
2019,0,Novo São Joaquim,5106281,Mato Grosso
2020,0,Novo São Joaquim,5106281,Mato Grosso
2021,0,Novo São Joaquim,5106281,Mato Grosso
2022,0,Novo São Joaquim,5106281,Mato Grosso
2023,0,Novo São Joaquim,5106281,Mato Grosso
2024,0,Novo São Joaquim,5106281,Mato Grosso
2007,2448.4414727590047,Paranatinga,5106307,Mato Grosso
2008,91.53255923127757,Paranatinga,5106307,Mato Grosso
2009,4.002808142105566,Paranatinga,5106307,Mato Grosso
2010,19.925733302406304,Paranatinga,5106307,Mato Grosso
2011,4.199260880598962,Paranatinga,5106307,Mato Grosso
2012,10.304960218818186,Paranatinga,5106307,Mato Grosso
2013,19.940377427233887,Paranatinga,5106307,Mato Grosso
2014,4.40737893172738,Paranatinga,5106307,Mato Grosso
2015,19.631123819748378,Paranatinga,5106307,Mato Grosso
2016,12.84011272512667,Paranatinga,5106307,Mato Grosso
